grnti_id;grnti_name
;
27.00.00;МАТЕМАТИКА
27.23.00;Математический анализ
27.23.15;Введение в анализ и некоторые специальные вопросы анализа
27.23.17;Дифференциальное и интегральное исчисление
27.23.19;Функциональные уравнения и теория конечных разностей
27.23.21;Интегральные преобразования. Операционное исчисление
27.23.23;Ряды и последовательности
27.23.25;Специальные функции
27.29.00;Обыкновенные дифференциальные уравнения
27.29.15;Общая теория обыкновенных дифференциальных уравнений и систем уравнений
27.29.17;Качественная теория обыкновенных дифференциальных уравнений и систем уравнений
27.29.19;Краевые задачи и задачи на собственные значения для обыкновенных дифференциальных уравнений
27.29.21;Аналитическая теория обыкновенных дифференциальных уравнений и систем уравнений
27.29.23;Асимптотические методы в теории обыкновенных дифференциальных уравнений и систем уравнений
27.29.25;Дифференциально-функциональные и дискретные уравнения и системы уравнений с одной независимой переменной
27.29.27;Уравнения аналитической механики, математическая теория управления движением
27.31.00;Дифференциальные уравнения с частными производными
27.31.15;Общая теория дифференциальных уравнений и систем уравнений
27.31.17;Линейные и квазилинейные уравнения и системы уравнений
27.31.19;Асимптотическое поведение решений
27.31.21;Нелинейные уравнения и системы уравнений
27.35.00;"Математические модели естественных наук и технических наук. Уравнения матема-
тической физики"
27.35.17;Математические модели газовой динамики
27.35.19;Задачи обтекания
27.35.21;Математические модели гидродинамики
27.35.25;Математические модели фильтрации
27.35.30;Математические модели механики частиц и систем
27.35.31;Математические модели упругости и пластичности
27.35.38;Математические модели физики полупроводников
27.35.45;Математические модели теплопроводности и диффузии
27.35.47;Уравнения переноса
27.35.49;Математические модели статистической физики и термодинамики
27.35.63;Математические модели геофизики и метеорологии
27.37.00;Вариационное исчисление и математическая теория оптимального управления
27.37.15;Вариационное исчисление
27.37.17;Математическая теория управления. Оптимальное управление
27.37.19;Дифференциальные игры
27.39.00;Функциональный анализ
27.39.15;Линейные пространства, снабженные топологией, порядком и другими структурами
27.39.17;Обобщенные функции
27.39.19;Линейные операторы и операторные уравнения
27.39.21;Спектральная теория линейных операторов
27.39.23;Топологические алгебры и теория бесконечномерных представлений
27.39.25;Теория меры, представления булевых алгебр, динамические системы
27.39.27;Нелинейный функциональный анализ
27.39.29;Приближенные методы функционального анализа
27.41.00;Вычислительная математика
27.41.15;Численные методы алгебры
27.41.17;Численные методы анализа
27.41.19;Численные методы решения дифференциальных и интегральных уравнений
27.41.21;Математические таблицы
27.41.23;Машинные, графические и другие методы вычислительной математики
27.41.41;Алгоритмы решения задач вычислительной и дискретной математики
27.41.77;Решение математических задач при помощи моделирующих систем
27.43.00;Теория вероятностей и математическая статистика
27.43.15;Теория вероятностей и случайные процессы
27.43.17;Математическая статистика
27.43.51;Применение теоретико-вероятностных и статистических методов
27.45.00;Комбинаторный анализ. Теория графов
27.45.15;Общая теория комбинаторного анализа
27.45.17;Теория графов
27.47.00;Математическая кибернетика
27.47.15;Математическая теория управляющих систем
27.47.17;Математическая теория информации
27.47.19;Исследование операций
27.47.23;Математические проблемы искусственного интеллекта
27.47.25;Математические вопросы семиотики
28.00.00;КИБЕРНЕТИКА
28.17.00;Теория моделирования
28.17.15;Физическое моделирование
28.17.19;Математическое моделирование
28.17.23;Моделирование физических процессов
28.17.27;Моделирование логических структур
28.17.31;Моделирование процессов управления
28.17.33;Компьютерное моделирование реальности. Виртуальная реальность
28.19.00;Теория кибернетических систем управления
28.19.15;Оптимальные системы
28.19.19;Экстремальные системы
28.19.23;Адаптивные и обучающие системы
28.19.27;Самоорганизующиеся системы
28.19.31;Идентификация систем
28.23.00;Искусственный интеллект
28.23.01;Общие вопросы искусственного интеллекта
28.23.02;Общие проблемы искусственного интеллекта
28.23.11;Языки для представления знаний
28.23.13;Инженерия знаний. Представление знаний
28.23.15;Распознавание образов. Обработка изображений
28.23.17;Логика в искусственном интеллекте
28.23.19;Эвристические методы
28.23.20;Формирование решений в интеллектуальной среде. Модели рассуждений
28.23.21;Модели дискурса
28.23.23;Модели когнитивной психологии
28.23.24;Модели восприятия информации в интеллектуальных системах
28.23.25;Модели и системы обучения
28.23.27;Интеллектуальные робототехнические системы
28.23.29;Программная реализация интеллектуальных систем
28.23.33;Аппаратная реализация интеллектуальных систем
28.23.35;Экспертные системы
28.23.37;Нейронные сети
28.23.39;Интеллектуальные базы знани
28.29.00;Системный анализ
28.29.01;Общие вопросы
28.29.03;Теория полезности и принятия решений
28.29.05;Теория игр и ее применение в кибернетических системах
28.29.07;Теория массового обслуживания и ее приложения
28.29.15;Методы исследования операций
28.29.51;Технические приложения вероятностно-статистических методов
28.29.53;Программно-целевое планирование
28.29.55;Теория планирования эксперимента
28.29.57;Эргатические системы
28.29.59;Программированное обучение
29.00.00;ФИЗИКА
29.05.00;Физика элементарных частиц. Теория полей. Физика высоких энергий
29.05.03;Математические методы теоретической физики
29.05.05;Методы теории групп в физике
29.05.09;Классическая механика. Релятивистская механика. Классическая теория поля
29.05.15;Квантовая механика
29.05.23;Релятивистская квантовая теория. Квантовая теория поля
29.05.27;Свойства стабильных частиц. Фундаментальные законы сохранения
29.17.00;Физика газов и жидкостей. Термодинамика и статистическая физика
29.17.15 ;Газы
29.17.19 ;Жидкости
29.17.21;Квантовые жидкости
29.17.25 ;Анизотропные жидкости. Жидкие кристаллы
29.17.27 ;Жидкие металлы и полупроводники
29.17.29 ;Жидкие диэлектрики. Электролиты
29.17.31 ;Жидкости полимерные и биополимерные
29.17.35;Методика и техника экспериментальных исследований газов и жидкостей
29.17.41;Статистическая термодинамика
29.17.43 ;Теория необратимых процессов и кинетических явлений
29.19.00;Физика твердых тел
29.19.03 ;Теория конденсированного состояния
29.19.04 ;Структура твердых тел
29.19.05 ;Химическая связь и кристаллические поля
29.19.07 ;Колебания кристаллических решеток
29.19.09 ;Тепловые свойства твердых тел
29.19.11 ;Дефекты кристаллической структуры
29.19.13 ;Механические свойства твердых тел
29.19.15 ;Фазовые равновесия и фазовые переходы
29.19.16 ;Физика тонких плёнок. Поверхности и границы раздела
29.19.17 ;Диффузия и ионный перенос в твердых телах
29.19.19 ;Методы исследования кристаллической структуры и динамики решетки
29.19.21 ;Влияние облучения на свойства твердых тел
29.19.22 ;Физика наноструктур. Низкоразмерные структуры. Мезоскопические структуры
29.19.23 ;Теория электрических свойств твердых тел
29.19.24 ;Электронная структура твёрдых тел
29.19.25 ;Взаимодействие проникающего излучения с твердыми телами
29.19.27 ;Нормальные (несверхпроводящие) металлы
29.19.29 ;Сверхпроводники
29.19.31 ;Полупроводники
29.19.33 ;Диэлектрики
29.19.35 ;Сегнето- и антисегнетоэлектрики
29.19.37 ;Теория магнитных свойств твердых тел
29.19.39 ;Ферромагнетики
29.19.41 ;Ферримагнетики
29.19.43;Антиферромагнетики и слабый ферромагнетизм
29.19.45 ;Электронные парамагнетики
29.19.47;Диамагнетики
29.29.00 ;Физика атома и молекулы
29.29.01;Общие вопросы
29.29.15;Электронные оболочки атомов
29.29.19;Геометрия, вращение и колебания молекул
29.29.21;Электронные оболочки молекул
29.29.25;Межмолекулярные силы
29.29.31;Столкновения атомов и молекул с частицами
29.29.39;Взаимодействие атомов и молекул с внешними полями и излучением
29.29.41;Взаимодействие атомов и молекул со средой
29.29.49;Атомные кластеры. Молекулярные кластеры
29.37.00;Акустика
29.37.03;Упругие колебания и волны
29.37.15;Физическая акустика газов, жидкостей и твердых тел
29.37.17;Воздействие звука и ультразвука на вещество
29.37.19;Излучение и прием звука
29.37.21;Электроакустика
29.37.23;Акустические измерения
29.37.27;Акустика природных сред
29.37.33;Акустические шумы
30.00.00;МЕХАНИКА
30.15.00 ;Общая механика
30.15.15;Механика точки, системы и твердого тела
30.15.19 ;Устойчивость и стабилизация движения
30.15.23 ;Теория управления и регулирования движения
30.15.27 ;Колебания механических систем
30.15.35;Теория механизмов и машин
30.17.00 ;Механика жидкости и газа
30.17.09 ;Гидростатика
30.17.15 ;Идеальная несжимаемая жидкость
30.17.19;Теория волн и колебаний жидкости
30.17.23;Вязкая жидкость
30.17.27;Турбулентность
30.17.31;Пограничный слой
30.17.33;Газовая динамика
30.17.35;Тепломассоперенос
30.17.51;Прикладная гидродинамика и гидравлика
30.19.00 ;Механика деформируемого твердого тела
30.19.15;Теория упругости
30.19.17 ;Оболочки
30.19.19 ;Пластины
30.19.21 ;Колебания упругих тел
30.19.23 ;Устойчивость
30.19.25 ;Пластичность
30.19.27;Ползучесть. Реология. Теория дислокаций
30.19.29;Разрушение
30.19.31 ;Механика геоматериалов и пористых сред
30.19.51 ;Прочность машиностроительных конструкций
30.19.53 ;Прочность строительных конструкций
30.19.55 ;Прочность подземных и земляных сооружений
30.19.57 ;Прочность материалов
30.51.00;Комплексные и специальные разделы механики
30.51.15 ;Разреженный газ и молекулярная газовая динамика
30.51.17 ;Магнитная гидродинамика
30.51.23 ;Горение и детонация
30.51.25 ;Физико-химическая гидродинамика
30.51.27 ;Течения сред с особыми свойствами
30.51.29 ;Движение смесей
